iso3,Субъект,Рейтинг качества жизни,Объем депозитов,Соотношение депозитов и доходов,Прирост вкладов,Доля валютных депозитов,Прирост населения за три года,Численность населения,Естественный прирост населения за три года,Миграционный прирост населения за три года,Доля просроченных кредитов,Изменение просроченных кредитов,Ссудная задолженность,Прирост задолженности,Доля с возможностей купить жилье в ипотеку 2019,Доля с возможностей купить жилье в ипотеку 2018,Отношение долга по кредитам к зп,Долг на человека(в тыс руб),Изменение долга(в тыс руб),Доля зп более 100тыс,Доля зп менее 15тыс,Медианная зп,Привлекательность труда для пенсионеров,Отношение зп в малых нас пунктах на стоимость базовых товаров,Средняя зп в малых нас пунктах,Прирост зп в малых нас пунктах,Отношение зп в малых нас пунктах к зп по региону,Число новых рабочих мест за три года,Число новых рабочих мест за 10 лет,Изменение числа новых рабочих мест за три года,Изменение числа новых рабочих мест за 10 лет,Отсутствие вредных привычек,Кол-во ДТП на 100тыс авто,Изменение кол-ва ДТП,Число пострадавших в дтп,Число погибших на 1000 пострадавших
RU-ALT,Алтайский край,37.781,80.4,3.48,25.1,7.4,-2.1,2317.2,-28.9,-19.6,4.39,-1.5,187.0,17.2,20.5,20.6,64.7,183.5,26.8,1.1,24.6,21.7,40.5,1.95,24.5,9.8,0.88,10.2,-18.7,1.0,-1.7,71.5,304.0,-3.6,164.0,66.0
RU-KR,Респ Карелия,37.132,138.9,4.68,31.2,8.2,-2.1,614.1,-9.0,-3.6,3.52,-1.2,264.0,15.8,40.8,37.6,58.9,257.4,35.2,3.9,2.6,32.8,28.1,2.68,39.5,8.6,0.95,-14.5,-36.5,-4.9,-11.4,68.3,244.0,-7.4,164.0,80.0
RU-ARK,Архангельская обл,34.641,161.0,4.8,30.9,7.3,-2.6,1092.4,-11.8,-17.6,2.94,-0.9,277.0,16.2,34.6,32.1,54.2,271.2,38.5,7.1,2.7,36.4,39.4,2.66,40.1,7.4,0.87,-29.0,-98.7,-5.5,-16.5,66.3,358.0,-5.3,181.0,62.0
RU-KB,Респ Кабардино-Балкарская,33.371,43.7,2.11,22.2,5.9,0.5,868.4,10.4,-6.3,5.51,-0.9,107.0,18.5,15.9,15.4,37.0,105.1,16.7,0.7,30.7,19.0,41.5,1.67,21.2,6.2,0.83,8.2,66.8,2.1,20.3,87.9,219.0,6.4,104.0,136.0
RU-SE,Респ Северная Осетия - Алания,32.37,62.3,2.64,31.3,5.5,-0.9,696.8,5.2,-11.5,6.79,-1.1,175.0,14.9,16.4,17.2,58.8,170.9,25.1,1.8,29.0,20.2,,2.04,24.7,2.0,0.92,-21.3,-60.6,-7.3,-18.3,84.1,313.0,-7.5,190.0,66.0
RU-BU,Респ Бурятия,31.624,62.5,2.56,39.8,9.7,0.2,985.9,8.8,-7.0,6.18,-1.9,226.0,15.1,26.5,29.2,55.7,222.1,30.2,3.1,6.8,29.2,39.3,2.74,36.5,6.3,0.98,-15.9,-5.1,-3.9,-1.3,45.7,312.0,-6.8,165.0,81.0
RU-KL,Респ Калмыкия,31.498,40.8,2.34,33.9,5.3,-2.4,271.1,0.9,-7.6,4.96,-0.6,258.0,19.8,18.8,18.4,86.2,248.5,45.7,0.9,26.2,21.3,33.5,1.63,21.5,0.7,0.82,-9.2,-6.6,-7.1,-5.2,73.4,384.0,-5.9,275.0,107.0
RU-IN,Респ Ингушетия,29.764,9.1,0.55,17.6,5.1,5.5,507.1,19.3,7.0,13.11,-2.8,29.0,24.1,8.5,8.0,9.9,27.8,5.8,1.1,29.6,19.6,,,,,,25.4,102.8,15.8,122.7,91.9,158.0,-11.7,73.0,160.0
RU-AL,Респ Алтай,29.456,43.9,2.18,36.3,4.3,1.5,220.2,3.3,-0.1,4.79,-1.2,197.0,22.2,24.3,21.4,57.2,192.1,36.4,1.5,8.2,24.7,25.1,1.89,26.6,6.7,0.86,-2.3,-2.8,-2.6,-3.3,64.9,408.0,5.8,228.0,84.0
RU-KGN,Курганская обл,29.409,72.5,3.44,31.9,5.8,-3.2,827.2,-12.8,-14.2,3.87,-0.6,229.0,16.6,28.4,27.4,72.8,224.4,34.7,1.3,23.1,22.7,35.4,1.92,24.7,6.9,0.87,-40.5,-46.6,-10.7,-12.2,54.3,316.0,-6.8,187.0,103.0
RU-ZAB,Забайкальский край,28.734,76.0,3.06,38.8,4.2,-1.8,1059.7,1.6,-20.9,5.37,-1.2,224.0,15.1,29.6,29.5,49.9,221.4,30.4,4.2,5.3,31.1,35.6,3.0,39.7,11.3,0.98,-1.4,-3.4,-0.3,-0.7,53.7,323.0,-5.3,175.0,130.0
RU-YEV,Еврейская Аобл,28.224,88.1,3.57,27.3,3.2,-3.6,158.3,-1.2,-4.8,4.99,-0.6,213.0,17.5,35.6,34.5,47.9,208.0,33.3,3.0,4.4,32.7,33.4,2.51,39.9,7.6,1.01,-5.0,-6.8,-6.4,-8.5,47.3,434.0,-12.1,191.0,92.0
RU-KC,Респ Карачаево-Черкесская,23.687,33.9,1.8,20.6,3.8,-0.2,465.5,2.5,-3.4,9.11,-1.1,158.0,19.5,13.1,13.8,56.3,155.4,27.2,1.3,33.1,19.1,29.2,1.76,22.7,6.4,0.9,-5.2,-29.1,-2.8,-14.0,78.4,462.0,7.8,197.0,91.0
RU-TY,Респ Тыва,17.533,27.4,1.79,30.4,3.4,2.8,327.4,11.3,-2.4,5.08,-0.8,315.0,22.3,14.9,16.6,76.4,308.7,61.3,2.5,4.0,27.6,19.2,2.32,28.3,11.5,0.79,-4.8,2.9,-4.5,2.9,55.2,858.0,-6.8,265.0,121.0
